'id_car_model','id_car_make','name','date_create','date_update','id_car_type'
'1','1','378 GT Zagato','1398979509','1524672302','1'
'2','1','ACE','1398979509','1493820952','1'
'3','1','Aceca','1398979509','1493820989','1'
'4','1','Cobra','1398979509','1472588525','1'
'5','2','CL','1398979510','1472588526','1'
'6','2','CSX','1398979510','1482684373','1'
'7','2','EL','1398979510','1472588526','1'
'8','2','ILX','1398979510','1524672303','1'
'9','2','Integra','1398979510','1472588527','1'
'10','2','Legend','1398979510','1524672303','1'
'11','2','MDX','1398979510','1472588527','1'
'12','2','NSX','1398979510','1472588528','1'
'13','2','RDX','1398979510','1482684319','1'
'14','2','RL','1398979510','1472588528','1'
'16','2','RSX','1398979510','1482684425','1'
'17','2','SLX','1398979510','1472588529','1'
'18','2','TL','1398979510','1472588530','1'
'19','2','TSX','1398979510','1472588530','1'
'20','2','ZDX','1398979510','1482684351','1'
'21','3','145','1398979511','1472588531','1'
'22','3','146','1398979511','1472588531','1'
'23','3','147','1398979511','1472588534','1'
'24','3','155','1398979511','1472588535','1'
'25','3','156','1398979511','1472588535','1'
'26','3','159','1398979511','1472588538','1'
'27','3','164','1398979511','1472588539','1'
'28','3','166','1398979511','1472588539','1'
'29','3','33','1398979511','1472588548','1'
'30','3','4C','1398979511','1472588643','1'
'31','3','Alfa 6','1398979511','1524672307','1'
'32','3','75','1398979511','1472588643','1'
'33','3','8C Competizione','1398979511','1493821117','1'
'34','3','90','1398979511','1524672307','1'
'35','3','Alfasud','1398979511','1524672307','1'
'36','3','Alfetta','1398979511','1524672308','1'
'37','3','Arna','1398979511','1524672308','1'
'38','3','Brera','1398979511','1472588644','1'
'39','3','Giulia','1398979511','1511165828','1'
'40','3','Giulietta','1398979511','1472588644','1'
'41','3','GT','1398979511','1472588644','1'
'43','3','GTV','1398979511','1472588645','1'
'44','3','MiTo','1398979511','1472588645','1'
'45','3','Montreal','1398979511','1524672309','1'
'47','3','Spider','1398979511','1493820915','1'
'50','4','A110','1398979512','1496347515','1'
'52','4','A610','1398979512','1472588646','1'
'55','6','Atom','1398979514','1472588649','1'
'56','7','10','1398979514','1472588650','1'
'57','7','24','1398979514','1472588650','1'
'59','8','Rocsta','1398979515','1493821240','1'
'61','9','Cygnet','1398979516','1472588651','1'
'62','9','DB7','1398979516','1493821302','1'
'63','9','DB9','1398979516','1472588652','1'
'64','9','DBS','1398979516','1472588652','1'
'65','9','Lagonda','1398979516','1472588652','1'
'66','9','One-77','1398979516','1472588653','1'
'67','9','Rapide','1398979516','1472588653','1'
'69','9','Vanquish','1398979516','1472588653','1'
'71','9','V12 Zagato','1398979516','1524672313','1'
'74','9','Virage','1398979516','1472588654','1'
'75','10','100','1398979517','1472588654','1'
'76','10','200','1398979517','1472588654','1'
'77','10','50','1398979517','1524672315','1'
'78','10','80','1398979517','1472588768','1'
'79','10','90','1398979517','1472588768','1'
'80','10','A1','1398979517','1472588771','1'
'81','10','A2','1398979517','1472588772','1'
'82','10','A3','1398979517','1472588772','1'
'84','10','A4','1398979517','1472588775','1'
'85','10','A5','1398979517','1472588776','1'
'86','10','Allroad','1398979517','1493821188','1'
'87','10','A6','1398979517','1472588777','1'
'88','10','A7','1398979517','1472588777','1'
